"gene1","gene2","pValue","oddsRatio","00","11","01","10","pAdj","Event","pair","event_ratio"
"NCOR1","RYR2",0.0169844929049415,3.02335451646775,893,7,48,43,0.0433277880228102,"Co_Occurence","NCOR1, RYR2","7/91"
"LRP2","NF1",0.0173382949689223,3.84385625374159,917,5,34,35,0.0436664270711441,"Co_Occurence","LRP2, NF1","5/69"
"NF1","RYR2",0.0173967045451438,3.34398480293621,903,6,49,33,0.0436664270711441,"Co_Occurence","NF1, RYR2","6/82"
"NCOR1","FLG",0.0186650933383757,2.95848508872123,892,7,49,43,0.0457034993376101,"Co_Occurence","FLG, NCOR1","7/92"
"USH2A","RYR2",0.0188461260389147,2.95149605344431,892,7,48,44,0.0457034993376101,"Co_Occurence","RYR2, USH2A","7/92"
"KMT2C","SYNE1",0.0188576321044476,2.67218416135109,863,10,43,75,0.0457034993376101,"Co_Occurence","KMT2C, SYNE1","10/118"
"NF1","FLG",0.0189211704215038,3.27365016771115,902,6,50,33,0.0457034993376101,"Co_Occurence","FLG, NF1","6/83"
"SYNE1","PTEN",0.0189918322637926,2.9459284596372,892,7,46,46,0.0457034993376101,"Co_Occurence","PTEN, SYNE1","7/92"
"NF1","FAT3",0.0191813646979824,3.73344608974817,916,5,36,34,0.0457034993376101,"Co_Occurence","FAT3, NF1","5/70"
"SYNE2","LRP2",0.0192320325212663,3.73039770988926,916,5,35,35,0.0457034993376101,"Co_Occurence","LRP2, SYNE2","5/70"
"PTEN","CDH1",0.0199910381945089,2.25608657679063,820,13,118,40,0.0471486749870493,"Co_Occurence","CDH1, PTEN","13/158"
"LRP2","FLG",0.0213001811835743,3.17408864707506,901,6,50,34,0.0498599746806516,"Co_Occurence","FLG, LRP2","6/84"
"MUC17","TP53",0.021557845942124,2.06410117170863,629,22,319,21,0.0500879320216635,"Co_Occurence","MUC17, TP53","22/340"
"PTEN","FLG",0.025204523526026,2.75681355869537,889,7,49,46,0.0577026637500594,"Co_Occurence","FLG, PTEN","7/95"
"SYNE1","FLG",0.025204523526026,2.75681355869537,889,7,49,46,0.0577026637500594,"Co_Occurence","FLG, SYNE1","7/95"
"DMD","PTEN",0.0256897464035947,3.0182497294269,900,6,47,38,0.0583195559369412,"Co_Occurence","DMD, PTEN","6/85"
"FAT3","NEB",0.0258472271912523,3.42004924686479,913,5,37,36,0.0583195559369412,"Co_Occurence","FAT3, NEB","5/73"
"TP53","SPTA1",0.0262576510297714,1.97030662819506,627,23,23,318,0.05882090284447,"Co_Occurence","SPTA1, TP53","23/341"
"ZFHX4","NCOR1",0.0266298693519504,2.98820043545708,900,6,44,41,0.0592301364589645,"Co_Occurence","NCOR1, ZFHX4","6/85"
"RYR2","TP53",0.0274848130896566,1.90887510152766,622,27,314,28,0.0606996755513617,"Co_Occurence","RYR2, TP53","27/342"
"SYNE2","DMD",0.0281694446868614,3.33393171239936,912,5,39,35,0.0617750979975031,"Co_Occurence","DMD, SYNE2","5/74"
"PIK3CA","NEB",0.0299592795321664,2.01122143291058,634,21,21,315,0.0652423334759722,"Co_Occurence","NEB, PIK3CA","21/336"
"DMD","FAT3",0.0310352608178004,3.23800625592508,911,5,36,39,0.0671177785852085,"Co_Occurence","DMD, FAT3","5/75"
"SPTA1","SYNE1",0.0313794923872463,2.86131715055935,898,6,47,40,0.0673958169829174,"Co_Occurence","SPTA1, SYNE1","6/87"
"ZFHX4","NF1",0.0329919378544845,3.18024463018161,910,5,34,42,0.0703752940582008,"Co_Occurence","NF1, ZFHX4","5/76"
"ZFHX4","PTEN",0.034513857307856,2.78858293609209,897,6,47,41,0.0726301711023906,"Co_Occurence","PTEN, ZFHX4","6/88"
"ZFHX4","SYNE1",0.034513857307856,2.78858293609209,897,6,47,41,0.0726301711023906,"Co_Occurence","SYNE1, ZFHX4","6/88"
"FAT3","SPTA1",0.0368445104393961,3.07369713719098,909,5,41,36,0.0770161171392058,"Co_Occurence","FAT3, SPTA1","5/77"
"MUC17","HMCN1",0.0372894012118849,2.7340302961916,895,6,53,37,0.0772644496453388,"Co_Occurence","HMCN1, MUC17","6/90"
"DMD","TTN",0.0374578051880602,2.12436880067323,791,13,156,31,0.0772644496453388,"Co_Occurence","DMD, TTN","13/187"
"SPTA1","FLG",0.0399187053037728,2.68089303179499,895,6,50,40,0.0818006256224854,"Co_Occurence","FLG, SPTA1","6/90"
"NEB","ZFHX4",0.0438037132874872,2.91336962884981,907,5,42,37,0.0891769407318552,"Co_Occurence","NEB, ZFHX4","5/79"
"SPTA1","MUC17",0.0441467869620222,2.90590641143107,907,5,38,41,0.0892936629490742,"Co_Occurence","MUC17, SPTA1","5/79"
"NCOR1","SYNE1",0.0451219868395581,2.59011510748833,894,6,47,44,0.0906792340023274,"Co_Occurence","NCOR1, SYNE1","6/91"
"RUNX1","USH2A",0.0494647207914907,2.80608404155978,905,5,46,35,0.0981442872847037,"Co_Occurence","RUNX1, USH2A","5/81"
"SYNE2","USH2A",0.0494647207914907,2.80608404155978,905,5,46,35,0.0981442872847037,"Co_Occurence","SYNE2, USH2A","5/81"
"GATA3","SYNE1",0.0528385136252642,0.260066116796926,815,2,51,123,0.104176880175994,"Mutually_Exclusive","GATA3, SYNE1","2/174"
"SYNE1","SYNE2",0.0569399002459034,2.68329016685868,903,5,35,48,0.110879892259806,"Co_Occurence","SYNE1, SYNE2","5/83"
"PIK3CA","NF1",0.0569479126646363,1.90173947999776,635,19,20,317,0.110879892259806,"Co_Occurence","NF1, PIK3CA","19/337"
"SPTA1","ZFHX4",0.0612309123185785,2.6180384766434,903,5,42,41,0.11848086748951,"Co_Occurence","SPTA1, ZFHX4","5/83"
"NCOR1","PIK3CA",0.0673995615556545,1.70821915278327,628,23,313,27,0.129614541453182,"Co_Occurence","NCOR1, PIK3CA","23/340"
"DMD","USH2A",0.069894798347619,2.50773865430374,901,5,46,39,0.133590975435052,"Co_Occurence","DMD, USH2A","5/85"
"FAT3","RYR2",0.0710246662809412,2.49664009292692,900,5,50,36,0.134925277889326,"Co_Occurence","FAT3, RYR2","5/86"
"KMT2C","LRP2",0.0737038525524782,2.37135976339082,873,7,33,78,0.139168905877036,"Co_Occurence","KMT2C, LRP2","7/111"
"NEB","RYR2",0.0773021990699022,2.42657711261143,899,5,50,37,0.145086709966033,"Co_Occurence","NEB, RYR2","5/87"
"SYNE2","FAT3",0.0783399283503669,2.74045995439938,914,4,37,36,0.146156582743222,"Co_Occurence","FAT3, SYNE2","4/73"
"DMD","SYNE1",0.0799421168870874,2.3980407521886,899,5,48,39,0.1482606025354,"Co_Occurence","DMD, SYNE1","5/87"
"NEB","KMT2C",0.0816914420580364,2.23089422990953,871,7,78,35,0.150611065741218,"Co_Occurence","KMT2C, NEB","7/113"
"ZFHX4","TP53",0.0827086250015114,1.72319630702164,625,22,319,25,0.151557125465019,"Co_Occurence","TP53, ZFHX4","22/344"
"PIK3CA","FLG",0.0831745504552024,1.61730444251077,624,25,31,311,0.151557125465019,"Co_Occurence","FLG, PIK3CA","25/342"
"USH2A","MUC16",0.0870634161222257,2.02198214579662,850,9,90,42,0.157723579931568,"Co_Occurence","MUC16, USH2A","9/132"
"ZFHX4","USH2A",0.0879014729047261,2.32123913296979,898,5,46,42,0.158323978574795,"Co_Occurence","USH2A, ZFHX4","5/88"
"LRP2","MUC17",0.0901101524260202,2.5944096546685,912,4,39,36,0.161303559464234,"Co_Occurence","LRP2, MUC17","4/75"
"KMT2C","MUC16",0.0905880789951138,1.72045006910811,820,13,86,72,0.161303559464234,"Co_Occurence","KMT2C, MUC16","13/158"
"LRP2","DMD",0.0963042231999362,2.52700753714334,911,4,40,36,0.170510310198187,"Co_Occurence","DMD, LRP2","4/76"
"TP53","SYNE1",0.101767204670233,1.6204518642578,621,24,29,317,0.179167613856044,"Co_Occurence","SYNE1, TP53","24/346"
"DMD","NEB",0.110652937816909,2.3890732300879,909,4,38,40,0.192798076399045,"Co_Occurence","DMD, NEB","4/78"
"HMCN1","CDH1",0.110743215083611,1.74315628774087,813,12,119,47,0.192798076399045,"Co_Occurence","CDH1, HMCN1","12/166"
"PTEN","KMT2C",0.122727563179007,1.98612770558179,861,8,77,45,0.212478468107699,"Co_Occurence","KMT2C, PTEN","8/122"
